	Bee1	Bee2	Bee3	Bee4	Bee5	Bee6	Bee7	Bee8	T1D11	T1D12	T1D13	T1D14	T1D15	T1D16	T1D31	T1D32	T1D33	T1D34	T1D35	T1D36	T1D51	T1D52	T1D53	T1D54	T1D55	T1D56	T2D11	T2D12	T2D13	T2D14	T2D15	T2D16	T2D31	T2D32	T2D33	T2D34	T2D35	T2D36	T2D51	T2D52	T2D53	T2D54	T2D55	T2D56	T3D11	T3D12	T3D13	T3D14	T3D15	T3D16	T3D31	T3D32	T3D33	T3D34	T3D35	T3D36	T3D51	T3D52	T3D53	T3D54	T3D55	T3D56
70f645cff25d516b459fd1355622b37d	21902.0	43283.0	32831.0	40152.0	10845.0	3666.0	20601.0	28620.0	74710.0	53226.0	54890.0	141363.0	17885.0	34349.0	68934.0	67244.0	37665.0	44315.0	111952.0	155825.0	345.0	334.0	357.0	612.0	274.0	64.0	35015.0	46444.0	10660.0	39.0	75329.0	64062.0	41493.0	9092.0	58195.0	19919.0	47059.0	157861.0	217.0	34.0	66.0	67.0	131.0	139.0	39267.0	35719.0	25085.0	161295.0	23189.0	12613.0	24930.0	2842.0	48562.0	10.0	50.0	38.0	3915.0	1279.0	5050.0	2987.0	3928.0	3231.0
0f18144d308ada95632ab5193d92073f	4110.0	7430.0	5255.0	7411.0	2155.0	559.0	6154.0	10198.0	2615.0	24624.0	2477.0	7726.0	49531.0	14039.0	1568.0	3054.0	2906.0	6756.0	8444.0	7672.0	8811.0	29910.0	12463.0	15303.0	10964.0	9035.0	36200.0	9456.0	118793.0	114.0	125286.0	14748.0	14150.0	18789.0	14720.0	20558.0	2503.0	14328.0	58298.0	63275.0	18854.0	55618.0	4013.0	7419.0	36251.0	1411.0	15444.0	14610.0	123868.0	183360.0	9086.0	22626.0	88448.0	123.0	129.0	68.0	15096.0	24155.0	32770.0	18933.0	56288.0	4662.0
cc761daf51f27c423da57f3f1f0ff5cc	1739.0	1218.0	1206.0	1938.0	381.0	209.0	2183.0	4254.0	102.0	0.0	69.0	95.0	48.0	61.0	21946.0	953.0	1397.0	1971.0	228.0	278.0	47100.0	61348.0	58140.0	49254.0	69382.0	40235.0	150.0	197.0	2063.0	25.0	68865.0	3518.0	52312.0	68347.0	57451.0	36395.0	15110.0	91966.0	108471.0	64072.0	74907.0	32699.0	41797.0	46329.0	682.0	121.0	345.0	127.0	907.0	100.0	284.0	28461.0	15532.0	41.0	183.0	84.0	25900.0	37883.0	9398.0	35183.0	11174.0	475.0
945184b6386c192c0066e0a98a154780	6665.0	10021.0	8112.0	9791.0	1565.0	398.0	8220.0	11700.0	9143.0	67888.0	48403.0	350.0	65727.0	8203.0	5855.0	3145.0	64681.0	3225.0	19658.0	16339.0	3202.0	17867.0	7995.0	6336.0	8338.0	6505.0	2054.0	1088.0	152.0	0.0	130.0	41520.0	1457.0	13953.0	2958.0	21021.0	31149.0	1328.0	8274.0	11414.0	8019.0	28841.0	7138.0	6016.0	16973.0	174541.0	18030.0	80984.0	7324.0	502.0	8074.0	491.0	19169.0	63.0	54.0	0.0	20380.0	27310.0	51142.0	11686.0	73635.0	82617.0
43fddf1528d4a98928fd8c3a8ac23bfd	2944.0	6767.0	5366.0	5791.0	2024.0	600.0	4756.0	7236.0	934.0	12191.0	952.0	7513.0	404.0	16295.0	1118.0	2530.0	1107.0	1588.0	6220.0	5906.0	3469.0	1117.0	4778.0	5222.0	4078.0	4585.0	17126.0	103694.0	6747.0	0.0	89199.0	9170.0	13188.0	11671.0	21895.0	9648.0	5549.0	10526.0	10269.0	4638.0	13827.0	3876.0	12883.0	1609.0	3295.0	2404.0	63405.0	544.0	7052.0	735.0	626.0	8977.0	22527.0	0.0	81.0	0.0	43219.0	15948.0	7208.0	8966.0	13547.0	7138.0
5648dccee530d68ceb3e4d7d22cf8756	3863.0	7145.0	5583.0	7343.0	1826.0	1147.0	3429.0	6384.0	188.0	0.0	0.0	160.0	268.0	50409.0	57650.0	1557.0	95.0	106.0	1156.0	157.0	1294.0	945.0	3244.0	4266.0	3417.0	2611.0	392.0	342.0	5143.0	0.0	37.0	14.0	5589.0	5216.0	14972.0	8591.0	909.0	1789.0	300.0	67.0	6500.0	1762.0	14464.0	13049.0	0.0	200.0	67.0	6385.0	54.0	111.0	100984.0	94.0	11711.0	0.0	88.0	51.0	274.0	1277.0	0.0	18607.0	23054.0	2336.0
b4289ab0a9a00034c1fbce477b2c4ded	481.0	612.0	514.0	623.0	278.0	103.0	524.0	1585.0	15769.0	1706.0	25485.0	158.0	292.0	1061.0	1329.0	3430.0	577.0	4375.0	14918.0	18455.0	11355.0	901.0	6741.0	11061.0	7111.0	10143.0	2069.0	768.0	61.0	0.0	47651.0	5430.0	2432.0	4429.0	3798.0	4140.0	27514.0	3520.0	352.0	428.0	1584.0	418.0	2671.0	2854.0	1356.0	1527.0	67.0	2361.0	1143.0	196.0	9297.0	4132.0	14939.0	0.0	61.0	0.0	3317.0	2627.0	2293.0	3957.0	2068.0	21900.0
c96a29ac5efea0b8733aed636fa5392d	1094.0	1807.0	1472.0	1787.0	337.0	52.0	1551.0	2216.0	1720.0	12781.0	7941.0	41.0	10932.0	1146.0	972.0	527.0	11691.0	474.0	3531.0	2883.0	515.0	3177.0	1565.0	1181.0	1440.0	1179.0	271.0	0.0	0.0	0.0	0.0	7074.0	200.0	2466.0	461.0	3714.0	3477.0	226.0	1499.0	2035.0	1388.0	5435.0	1300.0	1073.0	2899.0	35649.0	3168.0	15764.0	1250.0	79.0	1045.0	68.0	3100.0	0.0	0.0	0.0	4590.0	6167.0	13009.0	2250.0	11183.0	15807.0
f8aeec3c1ff0f4e7e1c829e4db0618d9	1473.0	2932.0	2373.0	2873.0	767.0	331.0	1568.0	2810.0	262.0	1492.0	157.0	344.0	780.0	8490.0	3200.0	526.0	36.0	102.0	1068.0	379.0	1901.0	2087.0	4437.0	3837.0	6811.0	7074.0	7399.0	270.0	4258.0	0.0	0.0	0.0	2328.0	2382.0	6233.0	3228.0	538.0	921.0	3437.0	84.0	13170.0	4309.0	9857.0	19841.0	20.0	103.0	0.0	1456.0	48.0	118.0	4358.0	0.0	6963.0	0.0	0.0	0.0	2454.0	3216.0	8727.0	15559.0	9410.0	2040.0
86d6db0b6e15510fa5d27ceae8fd5e0d	328.0	474.0	334.0	683.0	165.0	68.0	399.0	955.0	173.0	240.0	435.0	35.0	100.0	164.0	425.0	372.0	87.0	590.0	1041.0	1376.0	2930.0	1737.0	3616.0	2663.0	2088.0	2806.0	371.0	0.0	0.0	0.0	9760.0	1309.0	784.0	2046.0	807.0	3320.0	1212.0	654.0	2416.0	582.0	526.0	203.0	465.0	1010.0	3417.0	139.0	55.0	10245.0	1557.0	666.0	59262.0	1770.0	12937.0	18.0	0.0	29.0	1970.0	580.0	6515.0	3190.0	1138.0	2427.0
