	treat	day	concat	value.16S	value.ITS
L001	T1	D1	T1D1	0.17555560946725	0.477972658796871
L002	T1	D1	T1D1	0.151393007905131	0.531342379842845
L003	T1	D1	T1D1	0.152638061481101	0.523932415883537
L004	T1	D1	T1D1	0.153488906104251	0.431530067310307
L005	T1	D1	T1D1	0.160319357612452	0.517891052269034
L006	T1	D3	T1D3	2.1653338876819	2.05757038895507
L007	T1	D3	T1D3	1.85971235282948	1.97274668830273
L008	T1	D3	T1D3	1.92144623916916	1.9337178424254
L009	T1	D3	T1D3	2.07536042882861	1.87263634331245
L010	T1	D3	T1D3	1.93170218706837	2.17125156563391
L011	T1	D5	T1D5	80.5068989042409	4.01678296786459
L012	T1	D5	T1D5	82.5709933215476	3.84731854456646
L013	T1	D5	T1D5	75.4848166502321	4.21840725049092
L014	T1	D5	T1D5	86.6090317926149	4.22440064153026
L015	T1	D5	T1D5	82.317384752387	4.18626728158043
L016	T2	D1	T2D1	0.1555560946725	0.477972658796871
L017	T2	D1	T2D1	0.151393007905131	0.531342379842845
L018	T2	D1	T2D1	0.152638061481101	0.523932415883537
L019	T2	D1	T2D1	0.153488906104251	0.481530067310307
L020	T2	D1	T2D1	0.160319357612452	0.517891052269034
L021	T2	D3	T2D3	1.35419933919462	1.37032950002875
L022	T2	D3	T2D3	1.3716007566963	1.33840587434991
L023	T2	D3	T2D3	1.47756438836522	1.50425485178762
L024	T2	D3	T2D3	1.44797714682593	1.48221404669956
L025	T2	D3	T2D3	1.50863991608506	1.47460522645306
L026	T2	D5	T2D5	44.9509682466678	2.69904056210126
L027	T2	D5	T2D5	44.6838281996614	3.10376683571201
L028	T2	D5	T2D5	45.2684618221183	3.06692889710304
L029	T2	D5	T2D5	44.8492964440987	2.91737874481783
L030	T2	D5	T2D5	38.9071708803387	2.80960435281823
