	Cond	Day	Concat	Concat2	Concat3
Bee1	Bee	Bee	Bee	Cond1	Bee
Bee2	Bee	Bee	Bee	Cond1	Bee
Bee3	Bee	Bee	Bee	Cond1	Bee
Bee4	Bee	Bee	Bee	Cond1	Bee
Bee5	Bee	Bee	Bee	Cond1	Bee
Bee6	Bee	Bee	Bee	Cond1	Bee
Bee7	Bee	Bee	Bee	Cond1	Bee
Bee8	Bee	Bee	Bee	Cond1	Bee
T1D11	T1	D1	T1D1	Cond1	Stigma
T1D12	T1	D1	T1D1	Cond1	Stigma
T1D13	T1	D1	T1D1	Cond1	Stigma
T1D14	T1	D1	T1D1	Cond1	Stigma
T1D15	T1	D1	T1D1	Cond1	Stigma
T1D16	T1	D1	T1D1	Cond1	Stigma
T1D31	T1	D3	T1D3	Cond1	Stigma
T1D32	T1	D3	T1D3	Cond1	Stigma
T1D33	T1	D3	T1D3	Cond1	Stigma
T1D34	T1	D3	T1D3	Cond1	Stigma
T1D35	T1	D3	T1D3	Cond1	Stigma
T1D36	T1	D3	T1D3	Cond1	Stigma
T1D51	T1	D5	T1D5	Cond1	Stigma
T1D52	T1	D5	T1D5	Cond1	Stigma
T1D53	T1	D5	T1D5	Cond1	Stigma
T1D54	T1	D5	T1D5	Cond1	Stigma
T1D55	T1	D5	T1D5	Cond1	Stigma
T1D56	T1	D5	T1D5	Cond1	Stigma
T2D11	T2	D1	T2D1	Cond2	Stigma
T2D12	T2	D1	T2D1	Cond2	Stigma
T2D13	T2	D1	T2D1	Cond2	Stigma
T2D14	T2	D1	T2D1	Cond2	Stigma
T2D15	T2	D1	T2D1	Cond2	Stigma
T2D16	T2	D1	T2D1	Cond2	Stigma
T2D31	T2	D3	T2D3	Cond2	Stigma
T2D32	T2	D3	T2D3	Cond2	Stigma
T2D33	T2	D3	T2D3	Cond2	Stigma
T2D34	T2	D3	T2D3	Cond2	Stigma
T2D35	T2	D3	T2D3	Cond2	Stigma
T2D36	T2	D3	T2D3	Cond2	Stigma
T2D51	T2	D5	T2D5	Cond2	Stigma
T2D52	T2	D5	T2D5	Cond2	Stigma
T2D53	T2	D5	T2D5	Cond2	Stigma
T2D54	T2	D5	T2D5	Cond2	Stigma
T2D55	T2	D5	T2D5	Cond2	Stigma
T2D56	T2	D5	T2D5	Cond2	Stigma
T3D11	T3	D1	T3D1	Cond2	Stigma
T3D12	T3	D1	T3D1	Cond2	Stigma
T3D13	T3	D1	T3D1	Cond2	Stigma
T3D14	T3	D1	T3D1	Cond2	Stigma
T3D15	T3	D1	T3D1	Cond2	Stigma
T3D16	T3	D1	T3D1	Cond2	Stigma
T3D31	T3	D3	T3D3	Cond2	Stigma
T3D32	T3	D3	T3D3	Cond2	Stigma
T3D33	T3	D3	T3D3	Cond2	Stigma
T3D34	T3	D3	T3D3	Cond2	Stigma
T3D35	T3	D3	T3D3	Cond2	Stigma
T3D36	T3	D3	T3D3	Cond2	Stigma
T3D51	T3	D5	T3D5	Cond2	Stigma
T3D52	T3	D5	T3D5	Cond2	Stigma
T3D53	T3	D5	T3D5	Cond2	Stigma
T3D54	T3	D5	T3D5	Cond2	Stigma
T3D55	T3	D5	T3D5	Cond2	Stigma
T3D56	T3	D5	T3D5	Cond2	Stigma
