	Treat	Day	Concat	value
S001	T1	D3	T1D3	6.748
S002	T1	D3	T1D3	6.566
S003	T1	D3	T1D3	6.761
S004	T1	D3	T1D3	6.556
S005	T1	D3	T1D3	6.519
S006	T2	D3	T2D3	5.535
S007	T2	D3	T2D3	5.531
S008	T2	D3	T2D3	5.409
S009	T2	D3	T2D3	5.236
S010	T2	D3	T2D3	5.264
S011	T3	D3	T3D3	5.612
S012	T3	D3	T3D3	5.542
S013	T3	D3	T3D3	5.464
S014	T3	D3	T3D3	5.194
S015	T3	D3	T3D3	5.212
S016	T1	D5	T1D5	7.550212302
S017	T1	D5	T1D5	7.607883669
S018	T1	D5	T1D5	7.512358222
S019	T1	D5	T1D5	7.713620038
S020	T1	D5	T1D5	7.536707313
S021	T2	D5	T2D5	5.178120927
S022	T2	D5	T2D5	5.261507474
S023	T2	D5	T2D5	5.063661523
S024	T2	D5	T2D5	5.117701977
S025	T2	D5	T2D5	5.301997151
S026	T3	D5	T3D5	5.061299156
S027	T3	D5	T3D5	5.053897045
S028	T3	D5	T3D5	5.175261246
S029	T3	D5	T3D5	5.204709746
S030	T3	D5	T3D5	5.053844806
S031	Bee	Bee	Bee	7.00819494577032
S032	Bee	Bee	Bee	6.81699100875674
S033	Bee	Bee	Bee	6.72480932242592
S034	Bee	Bee	Bee	6.74511444160204
S035	Bee	Bee	Bee	7.14996247628892
S036	Bee	Bee	Bee	6.84693965821332
S037	Bee	Bee	Bee	6.95063433943212
S038	Bee	Bee	Bee	6.82666752310212
