	Treat	Day	Concat	value
S001	T1	D3	T1D3	0.000273798089445379
S002	T1	D3	T1D3	0.000163933690738095
S003	T1	D3	T1D3	0.000248477010860923
S004	T1	D3	T1D3	0.000179391605199123
S005	T1	D3	T1D3	0.000199047448674194
S006	T2	D3	T2D3	3.33648193932956E-05
S007	T2	D3	T2D3	3.02346763551443E-05
S008	T2	D3	T2D3	2.0083615004301E-05
S009	T2	D3	T2D3	1.81644398126098E-05
S010	T2	D3	T2D3	1.73268832232482E-05
S011	T3	D3	T3D3	4.15584813381047E-05
S012	T3	D3	T3D3	3.55012983038135E-05
S013	T3	D3	T3D3	2.89764856753155E-05
S014	T3	D3	T3D3	1.71072477470763E-05
S015	T3	D3	T3D3	1.76740739106159E-05
S016	T1	D5	T1D5	0.00142297859915933
S017	T1	D5	T1D5	0.00139459163638355
S018	T1	D5	T1D5	0.0013348896496868
S019	T1	D5	T1D5	0.00139786838806818
S020	T1	D5	T1D5	0.00158910525428175
S021	T2	D5	T2D5	9.32533384476657E-05
S022	T2	D5	T2D5	9.76470389077964E-05
S023	T2	D5	T2D5	8.47419991904905E-05
S024	T2	D5	T2D5	9.95307264915913E-05
S025	T2	D5	T2D5	9.21875933053135E-05
S026	T3	D5	T3D5	0.000100012473285507
S027	T3	D5	T3D5	8.41221993155489E-05
S028	T3	D5	T3D5	9.06379148933676E-05
S029	T3	D5	T3D5	7.37901754370678E-05
S030	T3	D5	T3D5	7.73726304603231E-05
