	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV
9fdb4efbb9696224172b7d704e43ba69	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrososphaera	ND	ASV00001
19c81c56a1c6e4d6cf5e74479d6e8b35	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrososphaera	ND	ASV00002
17ecfaa690a25730c5d0d7e2ab93f3c6	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrososphaera	ND	ASV00003
3c6433f01296f58515014b9a6b718b1e	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	uncultured_compost	ASV00004
1d6b9da3bd2d4ac1a99d1a57a422c3f1	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	uncultured_compost	ASV00005
c40591c7285bb956c267d10185eba46a	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	uncultured_crenarchaeote	ASV00006
44e2ded95a636e84ce6105a7b3bbc08c	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	unidentified_archaeon	ASV00007
99b45d835ebb17d61efa99fbea02ad39	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	unidentified_archaeon	ASV00008
ed95bcca429ad0a25012dd63eed6fe4f	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	unidentified_archaeon	ASV00009
25b7d72340d612b530455f3f2695d11a	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	ND	ASV00010
